,confidence,sentence,arg1,rel,arg2,negated,passive,is_valuable,is_valuable_rel,is_valuable_arg2
0,0.9615261236584439,"Alabama Governor George Wallace, an infamous segregationist who ran on a third-party ticket in 1968, did well in South and among alienated and dissatisfied voters in North.",Alabama Governor George Wallace,did well,in South and among alienated and dissatisfied voters in North,0.0,0.0,1.0,1.0,1.0
1,0.9200287634688749,"Alabama Governor George Wallace, an infamous segregationist who ran on a third-party ticket in 1968, did well in South and among alienated and dissatisfied voters in North.",an infamous segregationist,ran,on a third-party ticket in 1968,0.0,0.0,0.0,1.0,0.0
2,0.9324144673478683,What might have become a forceful campaign was cut short when Wallace was shot in an assassination attempt by Arthur Bremer on May 15.,Wallace,was shot,in an assassination attempt by Arthur Bremer,0.0,1.0,1.0,1.0,1.0
3,0.9266232318014763,McGovern had led Hunt Commission to re-design Democratic nomination system after divisive nomination struggle and convention of 1968.,Hunt Commission,to re-design,Democratic nomination system,0.0,0.0,1.0,0.0,1.0
4,0.9382554258342916,"Some of principles of Hunt Commission have lasted throughout every subsequent nomination contest, but Hunt Commission instituted selection of Superdelegates a decade later, in order to reduce nomination chances of outsiders like McGovern and Carter.",Hunt Commission,instituted,selection of Superdelegates,0.0,0.0,1.0,1.0,1.0
5,0.9324144673478683,"Most polls showed McGovern running well behind incumbent President Richard Nixon, except when McGovern was paired with Massachusetts Senator Ted Kennedy.",McGovern,was paired,with Massachusetts Senator Ted Kennedy,0.0,1.0,1.0,1.0,1.0
6,0.9210233335200773,"McGovern and McGovern campaign brain trust lobbied Massachusetts Senator Ted Kennedy heavily to accept bid to be McGovern's running mate, but McGovern continually refused McGovern and his campaign brain trust advances, and instead suggested U. S. Representative Wilbur Mills of Arkansas and Boston Mayor Kevin White.",McGovern,suggested,U. S. Representative Wilbur Mills of Arkansas,0.0,0.0,1.0,1.0,1.0
7,0.95661548140274,"Finally, vice presidential slot was offered to Senator Thomas Eagleton of Missouri, who accepted offer.",vice presidential slot,was offered,to Senator Thomas Eagleton of Missouri,0.0,1.0,1.0,1.0,1.0
8,0.9181538107823964,"With hundreds of delegates displeased with McGovern, vote to ratify Eagleton's candidacy was chaotic, with at least three other candidates having at least three other candidates names put into nomination and votes scattered over 70 candidates.",names,put,into votes,0.0,0.0,0.0,0.0,0.0
9,0.9032671032205705,"The vice-presidential balloting went on so long that Senator Thomas Eagleton of Missouri, who accepted offer Eagleton were forced to begin making Senator Thomas Eagleton of Missouri, who accepted offer acceptance speeches at around 2 am, local time.",Eagleton,to begin making,Senator Thomas Eagleton of Missouri,0.0,0.0,1.0,0.0,0.0
